State,District,StateCode
Andaman & Nicobar Islands,Nicobar,21
Andaman & Nicobar Islands,North & Middle Andaman,21
Andaman & Nicobar Islands,South Andaman,21
Andhra Pradesh,Anantapur,34
Andhra Pradesh,Chittoor,34
Andhra Pradesh,East Godavari,34
Andhra Pradesh,Guntur,34
Andhra Pradesh,Krishna,34
Andhra Pradesh,Kurnool,34
Andhra Pradesh,Prakasam,34
Andhra Pradesh,Srikakulam,34
Andhra Pradesh,Sri Potti Sriramulu Nellore,34
Andhra Pradesh,Visakhapatnam,34
Andhra Pradesh,Vizianagaram,34
Andhra Pradesh,West Godavari,34
Andhra Pradesh,Y.S.R. (Cuddapah),34
Arunachal Pradesh,Anjaw,8
Arunachal Pradesh,Changlang,8
Arunachal Pradesh,Dibang Valley,8
Arunachal Pradesh,East Kameng,8
Arunachal Pradesh,East Siang,8
Arunachal Pradesh,Kurung Kumey,8
Arunachal Pradesh,Lohit,8
Arunachal Pradesh,Lower Dibang Valley,8
Arunachal Pradesh,Lower Subansiri,8
Arunachal Pradesh,Papum Pare,8
Arunachal Pradesh,Tawang,8
Arunachal Pradesh,Tirap,8
Arunachal Pradesh,Upper Siang,8
Arunachal Pradesh,Upper Subansiri,8
Arunachal Pradesh,West Kameng,8
Arunachal Pradesh,West Siang,8
Assam,Baksa,23
Assam,Barpeta,23
Assam,Bongaigaon,23
Assam,Cachar,23
Assam,Chirang,23
Assam,Darrang,23
Assam,Dhemaji,23
Assam,Dhubri,23
Assam,Dibrugarh,23
Assam,Dima Hasao,23
Assam,Goalpara,23
Assam,Golaghat,23
Assam,Hailakandi,23
Assam,Jorhat,23
Assam,Kamrup,23
Assam,Kamrup Metropolitan,23
Assam,Karbi Anglong,23
Assam,Karimganj,23
Assam,Kokrajhar,23
Assam,Lakhimpur,23
Assam,Morigaon (Marigaon),23
Assam,Nagaon,23
Assam,Nalbari,23
Assam,Sivasagar,23
Assam,Sonitpur,23
Assam,Tinsukia,23
Assam,Udalguri,23
Bihar,Araria,12
Bihar,Arwal,12
Bihar,Aurangabad,12
Bihar,Banka,12
Bihar,Begusarai,12
Bihar,Bhagalpur,12
Bihar,Bhojpur,12
Bihar,Buxar,12
Bihar,Darbhanga,12
Bihar,Gaya,12
Bihar,Gopalganj,12
Bihar,Jamui,12
Bihar,Jehanabad,12
Bihar,Kaimur (Bhabua),12
Bihar,Katihar,12
